    ID                  CURVE             X             Y
     1               S26/0756   1001.000000     46.666382 
     1               S26/0756   1008.000000     46.657520 
     1               S26/0756   1015.000000     46.796219 
     1               S26/0756   1022.000000     46.805283 
     1               S26/0756   1029.000000     46.810562 
     1               S26/0756   1036.000000     46.818985 
     1               S26/0756   1043.000000     46.855083 
     1               S26/0756   1050.000000     46.834179 
     1               S26/0756   1057.000000     46.790466 
     1               S26/0756   1064.000000     46.754635 
     1               S26/0756   1071.000000     46.768978 
     1               S26/0756   1078.000000     46.877312 
     1               S26/0756   1085.000000     47.235451 
     1               S26/0756   1092.000000     47.493027 
     1               S26/0756   1099.000000     47.857964 
     1               S26/0756   1106.000000     47.799393 
     1               S26/0756   1113.000000     47.883591 
     1               S26/0756   1120.000000     47.768330 
     1               S26/0756   1127.000000     47.887684 
     1               S26/0756   1134.000000     47.881222 
     1               S26/0756   1141.000000     47.739357 
     1               S26/0756   1148.000000     47.692158 
     1               S26/0756   1155.000000     47.926998 
     1               S26/0756   1162.000000     47.955971 
     1               S26/0756   1169.000000     47.820957 
     1               S26/0756   1176.000000     47.687603 
     1               S26/0756   1183.000000     47.561287 
     1               S26/0756   1190.000000     47.664635 
     1               S26/0756   1197.000000     47.770294 
     1               S26/0756   1204.000000     47.664898 
     1               S26/0756   1211.000000     47.537228 
     1               S26/0756   1218.000000     47.399994 
     1               S26/0756   1225.000000     47.339355 
     1               S26/0756   1232.000000     47.288937 
     1               S26/0756   1239.000000     47.212418 
     1               S26/0756   1246.000000     47.176205 
     1               S26/0756   1253.000000     47.103008 
     1               S26/0756   1260.000000     47.019978 
     1               S26/0756   1267.000000     46.958790 
     1               S26/0756   1274.000000     46.911949 
     1               S26/0756   1281.000000     46.874786 
     1               S26/0756   1288.000000     46.818810 
     1               S26/0756   1295.000000     46.772606 
     1               S26/0756   1302.000000     46.732647 
     1               S26/0756   1309.000000     46.727421 
     1               S26/0756   1316.000000     46.725834 
     1               S26/0756   1323.000000     46.731831 
     1               S26/0756   1330.000000     46.732437 
     1               S26/0756   1337.000000     46.790264 
     1               S26/0756   1344.000000     46.775307 
     1               S26/0756   1351.000000     46.756424 
     1               S26/0756   1358.000000     46.755779 
     1               S26/0756   1365.000000     46.752804 
     1               S26/0756   1372.000000     46.727417 
     1               S26/0756   1379.000000     46.783524 
     1               S26/0756   1386.000000     46.793804 
     1               S26/0756   1393.000000     46.826401 
     1               S26/0756   1400.000000     46.805447 
     1               S26/0756   1407.000000     46.775208 
     1               S26/0756   1414.000000     46.770771 
     1               S26/0756   1421.000000     46.792072 
     1               S26/0756   1428.000000     46.853436 
     1               S26/0756   1435.000000     46.877033 
     1               S26/0756   1442.000000     46.865040 
     1               S26/0756   1449.000000     46.949898 
     1               S26/0756   1456.000000     47.001892 
     1               S26/0756   1463.000000     47.596584 
     1               S26/0756   1470.000000     48.082989 
     1               S26/0756   1477.000000     48.511467 
     1               S26/0756   1484.000000     48.516613 
     1               S26/0756   1491.000000     48.571762 
     1               S26/0756   1498.000000     48.427402 
     1               S26/0756   1505.000000     48.335331 
     1               S26/0756   1512.000000     48.314804 
     1               S26/0756   1519.000000     48.127247 
     1               S26/0756   1526.000000     47.911724 
     1               S26/0756   1533.000000     47.830330 
     1               S26/0756   1540.000000     47.771397 
     1               S26/0756   1547.000000     47.646713 
     1               S26/0756   1554.000000     47.517635 
     1               S26/0756   1561.000000     47.428314 
     1               S26/0756   1568.000000     47.392532 
     1               S26/0756   1575.000000     47.329700 
     1               S26/0756   1582.000000     47.284588 
     1               S26/0756   1589.000000     47.199005 
     1               S26/0756   1596.000000     47.128025 
     1               S26/0756   1603.000000     47.182411 
     1               S26/0756   1610.000000     47.230446 
     1               S26/0756   1617.000000     47.182457 
     1               S26/0756   1624.000000     47.180576 
     1               S26/0756   1631.000000     47.112236 
     1               S26/0756   1638.000000     47.151028 
     1               S26/0756   1645.000000     47.081440 
     1               S26/0756   1652.000000     47.048363 
     1               S26/0756   1659.000000     47.012615 
     1               S26/0756   1666.000000     47.014698 
     1               S26/0756   1673.000000     46.957493 
     1               S26/0756   1680.000000     46.891155 
     1               S26/0756   1687.000000     46.871658 
     1               S26/0756   1694.000000     46.858776 
     1               S26/0756   1701.000000     46.821629 
     1               S26/0756   1708.000000     46.810661 
     1               S26/0756   1715.000000     46.811234 
     1               S26/0756   1722.000000     46.781784 
     1               S26/0756   1729.000000     46.820763 
     1               S26/0756   1736.000000     46.819424 
     1               S26/0756   1743.000000     46.792591 
     1               S26/0756   1750.000000     46.788849 
     1               S26/0756   1757.000000     46.787971 
     1               S26/0756   1764.000000     46.795357 
     1               S26/0756   1771.000000     46.770397 
     1               S26/0756   1778.000000     46.734562 
     1               S26/0756   1785.000000     46.699650 
     1               S26/0756   1792.000000     46.677181 
     1               S26/0756   1799.000000     46.705200 
     1               S26/0756   1806.000000     46.759453 
     1               S26/0756   1813.000000     46.754253 
     1               S26/0756   1820.000000     46.788864 
     1               S26/0756   1827.000000     46.811008 
     1               S26/0756   1834.000000     46.944000 
     1               S26/0756   1841.000000     47.059181 
     1               S26/0756   1848.000000     47.041805 
     1               S26/0756   1855.000000     46.980663 
     1               S26/0756   1862.000000     47.259605 
     1               S26/0756   1869.000000     47.268269 
     1               S26/0756   1876.000000     47.492764 
     1               S26/0756   1883.000000     47.550831 
     1               S26/0756   1890.000000     47.472878 
     1               S26/0756   1897.000000     47.396225 
     1               S26/0756   1904.000000     47.282539 
     1               S26/0756   1911.000000     47.201118 
     1               S26/0756   1918.000000     47.519726 
     1               S26/0756   1925.000000     47.842907 
     1               S26/0756   1932.000000     47.748932 
     1               S26/0756   1939.000000     47.635235 
     1               S26/0756   1946.000000     47.482101 
     1               S26/0756   1953.000000     47.331738 
     1               S26/0756   1960.000000     47.213531 
     1               S26/0756   1967.000000     47.181217 
     1               S26/0756   1974.000000     47.135349 
     1               S26/0756   1981.000000     47.101711 
     1               S26/0756   1988.000000     47.070511 
     1               S26/0756   1995.000000     46.991348 
     1               S26/0756   2002.000000     46.998081 
     1               S26/0756   2009.000000     46.978874 
     1               S26/0756   2016.000000     46.920673 
     1               S26/0756   2023.000000     46.868958 
     1               S26/0756   2030.000000     46.821262 
     1               S26/0756   2037.000000     46.774330 
     1               S26/0756   2044.000000     46.772953 
     1               S26/0756   2051.000000     46.732430 
     1               S26/0756   2058.000000     46.709633 
     1               S26/0756   2065.000000     46.701664 
     1               S26/0756   2072.000000     46.694229 
     1               S26/0756   2079.000000     46.687740 
     1               S26/0756   2086.000000     46.665596 
     1               S26/0756   2093.000000     46.635578 
     1               S26/0756   2100.000000     46.620850 
     1               S26/0756   2107.000000     46.655098 
     1               S26/0756   2114.000000     46.640865 
     1               S26/0756   2121.000000     46.631123 
     1               S26/0756   2128.000000     46.626232 
     1               S26/0756   2135.000000     46.651581 
     1               S26/0756   2142.000000     46.674950 
     1               S26/0756   2149.000000     46.671608 
     1               S26/0756   2156.000000     46.653454 
     1               S26/0756   2163.000000     46.658707 
     1               S26/0756   2170.000000     46.684109 
     1               S26/0756   2177.000000     46.705067 
     1               S26/0756   2184.000000     46.721565 
     1               S26/0756   2191.000000     46.767639 
     1               S26/0756   2198.000000     46.864609 
     1               S26/0756   2205.000000     46.924240 
     1               S26/0756   2212.000000     46.953770 
     1               S26/0756   2219.000000     46.970112 
     1               S26/0756   2226.000000     47.032722 
     1               S26/0756   2233.000000     47.076832 
     1               S26/0756   2240.000000     47.095795 
     1               S26/0756   2247.000000     47.064159 
     1               S26/0756   2254.000000     47.149418 
     1               S26/0756   2261.000000     47.138260 
     1               S26/0756   2268.000000     47.091763 
     1               S26/0756   2275.000000     47.064110 
     1               S26/0756   2282.000000     47.016598 
     1               S26/0756   2289.000000     47.007717 
     1               S26/0756   2296.000000     47.027523 
     1               S26/0756   2303.000000     47.093216 
     1               S26/0756   2310.000000     47.171597 
     1               S26/0756   2317.000000     47.166862 
     1               S26/0756   2324.000000     47.083454 
     1               S26/0756   2331.000000     46.973351 
     1               S26/0756   2338.000000     46.870636 
     1               S26/0756   2345.000000     46.835007 
     1               S26/0756   2352.000000     46.827972 
     1               S26/0756   2359.000000     46.800766 
