 index  ID    boreID  modeltime_days  modeldate  gwlevel_m
    98   1  R26/6626      692.998108 1994-05-25   9.134793
    99   1  R26/6626      699.998047 1994-06-01   9.112579
   100   1  R26/6626      706.997986 1994-06-08   9.347982
   101   1  R26/6626      713.997925 1994-06-15   9.392234
   102   1  R26/6626      720.997864 1994-06-22   9.453449
   103   1  R26/6626      727.997803 1994-06-29   9.441175
   104   1  R26/6626      734.997742 1994-07-06   9.478096
   105   1  R26/6626      741.997681 1994-07-13   9.471247
   106   1  R26/6626      748.997620 1994-07-20   9.508822
   107   1  R26/6626      755.997559 1994-07-27   9.520052
   108   1  R26/6626      762.997498 1994-08-03   9.557880
   109   1  R26/6626      769.997437 1994-08-10   9.581848
   110   1  R26/6626      776.997375 1994-08-17   9.572206
   111   1  R26/6626      783.997314 1994-08-24   9.553909
   112   1  R26/6626      790.997253 1994-08-31   9.535108
   113   1  R26/6626      797.997192 1994-09-07   9.515782
   114   1  R26/6626      804.997131 1994-09-14   9.496064
   115   1  R26/6626      811.997070 1994-09-21   9.577621
   116   1  R26/6626      818.997009 1994-09-28   9.607284
   117   1  R26/6626      825.996948 1994-10-05   9.600619
   118   1  R26/6626      832.996887 1994-10-12   9.597981
   119   1  R26/6626      839.996826 1994-10-19   9.579099
   120   1  R26/6626      846.996765 1994-10-26   9.559860
   121   1  R26/6626      853.996704 1994-11-02   9.590276
   122   1  R26/6626      860.996643 1994-11-09   9.668969
   123   1  R26/6626      867.996582 1994-11-16   9.663537
   124   1  R26/6626      874.996521 1994-11-23   9.653535
   125   1  R26/6626      881.996460 1994-11-30   9.634795
   126   1  R26/6626      888.996399 1994-12-07   9.615662
   127   1  R26/6626      895.996338 1994-12-14   9.596062
   128   1  R26/6626      902.996277 1994-12-21   9.576038
   129   1  R26/6626      909.996216 1994-12-28   9.555641
   130   1  R26/6626      916.996155 1995-01-04   9.534908
   131   1  R26/6626      923.996094 1995-01-11   9.513882
   132   1  R26/6626      930.996033 1995-01-18   9.492599
   133   1  R26/6626      937.995972 1995-01-25   9.471113
   134   1  R26/6626      944.995911 1995-02-01   9.449458
   135   1  R26/6626      951.995850 1995-02-08   9.427658
   136   1  R26/6626      958.995789 1995-02-15   9.405738
   137   1  R26/6626      965.995728 1995-02-22   9.417127
   138   1  R26/6626      972.995667 1995-03-01   9.395333
   139   1  R26/6626      979.995605 1995-03-08   9.373547
   140   1  R26/6626      986.995544 1995-03-15   9.351806
   141   1  R26/6626      993.995483 1995-03-22   9.341316
   142   1  R26/6626     1000.995422 1995-03-29   9.321170
   143   1  R26/6626     1007.995361 1995-04-05   9.299783
   144   1  R26/6626     1014.995300 1995-04-12   9.309016
   145   1  R26/6626     1021.995239 1995-04-19   9.436638
   146   1  R26/6626     1028.995239 1995-04-26   9.455604
   147   1  R26/6626     1035.995239 1995-05-03   9.462497
   148   1  R26/6626     1042.995239 1995-05-10   9.443446
   149   1  R26/6626     1049.995239 1995-05-17   9.424276
   150   1  R26/6626     1056.995239 1995-05-24   9.472976
   151   1  R26/6626     1063.995239 1995-05-31   9.650233
   152   1  R26/6626     1070.995239 1995-06-07   9.672714
   153   1  R26/6626     1077.995239 1995-06-14   9.680319
   154   1  R26/6626     1084.995239 1995-06-21   9.724508
   155   1  R26/6626     1091.995239 1995-06-28   9.789649
   156   1  R26/6626     1098.995239 1995-07-05   9.817411
   157   1  R26/6626     1105.995239 1995-07-12   9.825294
