    ID                  CURVE             X             Y
     1               S27/0428    784.000000      3.848628 
     1               S27/0428    791.000000      3.841793 
     1               S27/0428    798.000000      3.830590 
     1               S27/0428    805.000000      3.814975 
     1               S27/0428    812.000000      3.808184 
     1               S27/0428    819.000000      3.816832 
     1               S27/0428    826.000000      3.814808 
     1               S27/0428    833.000000      3.817209 
     1               S27/0428    840.000000      3.812147 
     1               S27/0428    847.000000      3.797825 
     1               S27/0428    854.000000      3.789045 
     1               S27/0428    861.000000      3.824130 
     1               S27/0428    868.000000      3.860489 
     1               S27/0428    875.000000      3.888833 
     1               S27/0428    882.000000      3.882193 
     1               S27/0428    889.000000      3.861146 
     1               S27/0428    896.000000      3.831299 
     1               S27/0428    903.000000      3.807328 
     1               S27/0428    910.000000      3.791738 
     1               S27/0428    917.000000      3.771935 
     1               S27/0428    924.000000      3.748954 
     1               S27/0428    931.000000      3.722944 
     1               S27/0428    938.000000      3.707404 
     1               S27/0428    945.000000      3.690114 
     1               S27/0428    952.000000      3.670480 
     1               S27/0428    959.000000      3.648606 
     1               S27/0428    966.000000      3.642998 
     1               S27/0428    973.000000      3.631750 
     1               S27/0428    980.000000      3.625214 
     1               S27/0428    987.000000      3.634424 
     1               S27/0428    994.000000      3.646793 
     1               S27/0428   1001.000000      3.648605 
     1               S27/0428   1008.000000      3.683084 
     1               S27/0428   1015.000000      3.704123 
     1               S27/0428   1022.000000      3.717858 
     1               S27/0428   1029.000000      3.731094 
     1               S27/0428   1036.000000      3.752733 
     1               S27/0428   1043.000000      3.761529 
     1               S27/0428   1050.000000      3.757266 
     1               S27/0428   1057.000000      3.745369 
     1               S27/0428   1064.000000      3.748836 
     1               S27/0428   1071.000000      3.756278 
     1               S27/0428   1078.000000      3.779542 
     1               S27/0428   1085.000000      3.800872 
     1               S27/0428   1092.000000      3.835550 
     1               S27/0428   1099.000000      3.874242 
     1               S27/0428   1106.000000      3.897316 
     1               S27/0428   1113.000000      3.921023 
     1               S27/0428   1120.000000      3.926131 
     1               S27/0428   1127.000000      3.938456 
     1               S27/0428   1134.000000      3.953504 
     1               S27/0428   1141.000000      3.959645 
     1               S27/0428   1148.000000      3.964552 
     1               S27/0428   1155.000000      3.976961 
     1               S27/0428   1162.000000      3.989028 
     1               S27/0428   1169.000000      3.992296 
     1               S27/0428   1176.000000      3.985012 
     1               S27/0428   1183.000000      3.985311 
     1               S27/0428   1190.000000      3.983743 
     1               S27/0428   1197.000000      3.987589 
     1               S27/0428   1204.000000      3.979270 
     1               S27/0428   1211.000000      3.956874 
     1               S27/0428   1218.000000      3.942172 
     1               S27/0428   1225.000000      3.932476 
